City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bejar,40.3864,-5.7634,8.1,90,81,1.09,ES,1670384534
1,chokurdakh,70.6333,147.9167,-20.87,97,100,1.13,RU,1670384535
2,barrow,71.2906,-156.7887,-8.99,79,100,9.26,US,1670384535
3,albany,42.6001,-73.9662,11.43,93,100,3.13,US,1670384249
4,kapaa,22.0752,-159.319,27.18,86,100,5.14,US,1670384536
5,punta arenas,-53.15,-70.9167,5.06,56,40,5.14,CL,1670384536
6,ponta do sol,32.6667,-17.1,21.35,94,90,5.54,PT,1670384537
7,bonthe,7.5264,-12.505,25.52,86,5,1.21,SL,1670384537
8,vaini,-21.2,-175.2,29.09,79,75,3.09,TO,1670384538
9,busselton,-33.65,115.3333,24.12,33,1,0.73,AU,1670384538
10,alofi,-19.0595,-169.9187,27.94,78,75,2.06,NU,1670384539
11,dunedin,-45.8742,170.5036,9.33,66,93,0.89,NZ,1670384501
12,nikolskoye,59.7035,30.7861,-5.05,92,100,4.24,RU,1670384539
13,te anau,-45.4167,167.7167,20.11,52,75,2.62,NZ,1670384540
14,lagoa,39.05,-27.9833,14.36,78,98,15.86,PT,1670384540
15,vershino-darasunskiy,52.35,115.5167,-12.84,64,7,3.52,RU,1670384541
16,hilo,19.7297,-155.09,24.85,88,20,2.57,US,1670384541
17,cape town,-33.9258,18.4232,15.62,82,0,1.03,ZA,1670384079
18,fortuna,40.5982,-124.1573,4.81,96,0,3.09,US,1670384364
19,vestmannaeyjar,63.4427,-20.2734,0.78,72,19,8.75,IS,1670384541
20,ivdel,60.6911,60.4206,-18.5,93,44,1.81,RU,1670384542
21,mahebourg,-20.4081,57.7,26.81,83,75,5.66,MU,1670384542
22,kahului,20.8947,-156.47,27.13,67,40,3.58,US,1670384413
23,impfondo,1.6381,18.0667,22.06,89,91,1.02,CG,1670384543
24,jamestown,42.097,-79.2353,6.77,79,100,3.09,US,1670384543
25,qaanaaq,77.484,-69.3632,-1.91,95,100,5.59,GL,1670384544
26,matamoros,25.5333,-103.25,22.06,43,0,0.0,MX,1670384544
27,puerto ayora,-0.7393,-90.3518,19.19,91,22,0.45,EC,1670384545
